risk_score_decile,cohort,loan_cnt,bad_cnt,bad_rate,amount_mean,amount_sum,score_mean
1,2024-01,3,0,0.0,2602.0,7806.0,548.6666666666666
1,2024-02,14,3,0.21428571428571427,2657.785714285714,37209.0,544.2857142857143
1,2024-03,19,1,0.05263157894736842,2988.5789473684213,56783.0,546.0526315789474
1,2024-04,19,1,0.05263157894736842,2377.1052631578946,45165.0,535.0526315789474
1,2024-05,14,2,0.14285714285714285,2675.8571428571427,37462.0,553.0714285714286
1,2024-06,15,0,0.0,2911.6,43674.0,548.7333333333333
1,2024-07,19,1,0.05263157894736842,2828.3684210526317,53739.0,544.421052631579
1,2024-08,9,0,0.0,1812.2222222222222,16310.0,543.6666666666666
1,2024-09,8,2,0.25,2792.0,22336.0,541.0
1,2024-10,15,1,0.06666666666666667,2864.8,42972.0,537.3333333333334
1,2024-11,16,2,0.125,2837.25,45396.0,545.5
1,2024-12,19,1,0.05263157894736842,2553.4736842105262,48516.0,547.8421052631579
1,2025-01,15,1,0.06666666666666667,3466.2,51993.0,548.9333333333333
1,2025-02,17,2,0.11764705882352941,2909.294117647059,49458.0,536.8823529411765
1,2025-03,13,0,0.0,2866.5384615384614,37265.0,547.6923076923077
1,2025-04,13,2,0.15384615384615385,2495.153846153846,32437.0,526.1538461538462
1,2025-05,9,1,0.1111111111111111,2350.4444444444443,21154.0,548.2222222222222
1,2025-06,8,1,0.125,2926.0,23408.0,541.875
1,2025-07,17,2,0.11764705882352941,2294.9411764705883,39014.0,541.2941176470588
1,2025-08,21,2,0.09523809523809523,2397.4761904761904,50347.0,541.4285714285714
1,2025-09,11,0,0.0,2300.909090909091,25310.0,546.4545454545455
2,2024-01,5,0,0.0,3309.4,16547.0,569.4
2,2024-02,16,2,0.125,2813.5625,45017.0,569.25
2,2024-03,16,1,0.0625,3031.625,48506.0,570.5
2,2024-04,20,0,0.0,2470.3,49406.0,571.45
2,2024-05,15,1,0.06666666666666667,2186.866666666667,32803.0,568.5333333333333
2,2024-06,25,0,0.0,2928.92,73223.0,570.24
2,2024-07,14,0,0.0,2810.785714285714,39351.0,569.9285714285714
2,2024-08,18,1,0.05555555555555555,2436.8333333333335,43863.0,569.3333333333334
2,2024-09,10,0,0.0,2751.8,27518.0,571.8
2,2024-10,13,1,0.07692307692307693,3267.3846153846152,42476.0,569.9230769230769
2,2024-11,10,0,0.0,3300.4,33004.0,570.2
2,2024-12,14,1,0.07142857142857142,2994.9285714285716,41929.0,569.0714285714286
2,2025-01,18,0,0.0,3069.6111111111113,55253.0,569.9444444444445
2,2025-02,13,0,0.0,2832.846153846154,36827.0,571.3846153846154
2,2025-03,16,0,0.0,2233.6875,35739.0,569.1875
2,2025-04,9,1,0.1111111111111111,2469.777777777778,22228.0,568.4444444444445
2,2025-05,8,1,0.125,2791.625,22333.0,567.125
2,2025-06,14,0,0.0,2816.0714285714284,39425.0,569.3571428571429
2,2025-07,17,1,0.058823529411764705,2278.1176470588234,38728.0,571.0588235294117
2,2025-08,12,0,0.0,2531.4166666666665,30377.0,570.1666666666666
2,2025-09,8,0,0.0,2080.625,16645.0,567.5
3,2024-01,8,0,0.0,2491.0,19928.0,583.0
3,2024-02,20,0,0.0,2996.75,59935.0,583.05
3,2024-03,20,0,0.0,2220.7,44414.0,584.5
3,2024-04,14,0,0.0,3034.785714285714,42487.0,584.4285714285714
3,2024-05,23,0,0.0,2925.3478260869565,67283.0,584.0
