cohort,dpd30_30d,dpd30_60d,dpd30_90d,dpd30_180d
2024-01,0.0,0.0,0.0,0.0
2024-02,0.0070921985815602835,0.02127659574468085,0.03546099290780142,0.0425531914893617
2024-03,0.006329113924050633,0.006329113924050633,0.012658227848101266,0.012658227848101266
2024-04,0.0,0.0,0.006896551724137931,0.020689655172413793
2024-05,0.00546448087431694,0.01092896174863388,0.02185792349726776,0.03278688524590164
2024-06,0.0,0.0,0.006060606060606061,0.024242424242424242
2024-07,0.0,0.0,0.006944444444444444,0.013888888888888888
2024-08,0.0,0.0,0.0070921985815602835,0.0070921985815602835
2024-09,0.007407407407407408,0.022222222222222223,0.022222222222222223,0.022222222222222223
2024-10,0.006578947368421052,0.019736842105263157,0.02631578947368421,0.05921052631578947
2024-11,0.006666666666666667,0.013333333333333334,0.02,0.02666666666666667
2024-12,0.0125,0.01875,0.01875,0.01875
2025-01,0.0,0.0,0.015503875968992248,0.031007751937984496
2025-02,0.0,0.006622516556291391,0.019867549668874173,0.033112582781456956
2025-03,0.0,0.007692307692307693,0.007692307692307693,0.015384615384615385
2025-04,0.007633587786259542,0.022900763358778626,0.030534351145038167,0.030534351145038167
2025-05,0.0,0.0,0.023809523809523808,0.03968253968253968
2025-06,0.0,0.0,0.0,0.0
2025-07,0.006896551724137931,0.027586206896551724,0.041379310344827586,0.06206896551724138
2025-08,0.0,0.014814814814814815,0.022222222222222223,0.022222222222222223
2025-09,0.0,0.009615384615384616,0.009615384615384616,0.009615384615384616
