cohort,loan_cnt,bad_cnt,bad_rate,amount_mean,amount_sum,score_mean
2024-01,39,0,0.0,2603.025641025641,101518.0,603.3846153846154
2024-02,141,5,0.03546099290780142,2705.659574468085,381498.0,600.822695035461
2024-03,156,2,0.01282051282051282,2850.3397435897436,444653.0,601.5128205128206
2024-04,146,2,0.0136986301369863,2602.9383561643835,380029.0,598.9589041095891
2024-05,180,3,0.016666666666666666,2600.3333333333335,468060.0,607.6666666666666
2024-06,175,1,0.005714285714285714,2807.405714285714,491296.0,602.6514285714286
2024-07,136,1,0.007352941176470588,2792.345588235294,379759.0,603.1911764705883
2024-08,141,1,0.0070921985815602835,2636.5390070921985,371752.0,605.0070921985815
2024-09,139,3,0.02158273381294964,2755.8705035971225,383066.0,610.0143884892086
2024-10,148,4,0.02702702702702703,2834.5337837837837,419511.0,605.472972972973
2024-11,152,4,0.02631578947368421,2754.9802631578946,418757.0,604.6907894736842
2024-12,159,2,0.012578616352201259,2714.2578616352203,431567.0,603.6477987421383
2025-01,132,2,0.015151515151515152,3006.371212121212,396841.0,606.1818181818181
2025-02,148,3,0.02027027027027027,2704.108108108108,400208.0,601.6148648648649
2025-03,131,1,0.007633587786259542,2799.053435114504,366676.0,603.8625954198474
2025-04,129,4,0.031007751937984496,2581.031007751938,332953.0,601.5736434108527
2025-05,128,3,0.0234375,2583.2734375,330659.0,610.21875
2025-06,150,1,0.006666666666666667,2780.8133333333335,417122.0,607.8133333333334
2025-07,141,5,0.03546099290780142,2590.1205673758864,365207.0,599.8368794326241
2025-08,135,3,0.022222222222222223,2858.9333333333334,385956.0,602.0370370370371
2025-09,101,1,0.009900990099009901,2449.7227722772277,247422.0,605.7722772277227
