feature,bin,woe,coef,points
delinq_12m,0,0.5171398615087728,-1.2119458575113609,45.21013216870132
delinq_12m,1,-0.37290006207488896,-1.2119458575113609,-32.60019647863997
delinq_12m,2,-0.8387390208769765,-1.2119458575113609,-73.32542859539744
delinq_12m,3,-2.0605839499690344,-1.2119458575113609,-180.14328358098211
delinq_12m,4,-2.8756209481380166,-1.2119458575113609,-251.3966004343691
delinq_12m,5,-3.4634076130401352,-1.2119458575113609,-302.7829173384551
inquiry_3m,0,0.8969214823626136,-1.1394223017685843,73.71972133780591
inquiry_3m,1,0.1548617311210573,-1.1394223017685843,12.72838691973606
inquiry_3m,2,0.29035492280889846,-1.1394223017685843,23.86483590754093
inquiry_3m,3,-1.018451942832618,-1.1394223017685843,-83.70854628634457
inquiry_3m,4,-1.627516006182022,-1.1394223017685843,-133.76870641175154
inquiry_3m,5,-1.8426273857989672,-1.1394223017685843,-151.44912913970336
inquiry_3m,6,-0.5289037175139121,-1.1394223017685843,-43.47162537232195
monthly_income,"(-inf, 2463.0]",-0.8626997049987103,-1.2603273872665153,-78.43096644483767
monthly_income,"(2463.0, 2864.8]",-0.8851221690545426,-1.2603273872665153,-80.46946896869815
monthly_income,"(2864.8, 3193.2]",0.002181025946360146,-1.2603273872665153,0.19828449206963467
monthly_income,"(3193.2, 3556.0]",0.5986445348741681,-1.2603273872665153,54.42481219716138
monthly_income,"(3556.0, 3873.0]",-0.37870183875646823,-1.2603273872665153,-34.42907310157396
monthly_income,"(3873.0, 4265.4]",2.2123927988093905,-1.2603273872665153,201.13615938523964
monthly_income,"(4265.4, 4684.4]",0.25349545422726627,-1.2603273872665153,23.046134534666763
monthly_income,"(4684.4, 5251.2]",0.25784328716336957,-1.2603273872665153,23.44141082506469
monthly_income,"(5251.2, 6067.0]",2.220958161668314,-1.2603273872665153,201.9148656756018
monthly_income,"(6067.0, inf]",0.5899676908484791,-1.2603273872665153,53.63597077449401
bureau_score,"(-inf, 514.0]",-0.953671483204437,-0.9042843202391303,-62.20830100068377
bureau_score,"(514.0, 550.0]",-0.1941418365796875,-0.9042843202391303,-12.66393513853846
bureau_score,"(550.0, 574.0]",0.2491286350609258,-0.9042843202391303,16.250741886173522
bureau_score,"(574.0, 597.0]",-0.0021857932199803192,-0.9042843202391303,-0.14258000259890424
bureau_score,"(597.0, 616.0]",0.6409341344405068,-0.9042843202391303,41.808342032956226
bureau_score,"(616.0, 633.4]",-0.06541226518616808,-0.9042843202391303,-4.26686333134844
bureau_score,"(633.4, 657.0]",0.6614266548306241,-0.9042843202391303,43.14507580254278
bureau_score,"(657.0, 679.2]",0.5270255708916819,-0.9042843202391303,34.37804938753611
bureau_score,"(679.2, 716.0]",-0.18981282549010203,-0.9042843202391303,-12.381552337291899
bureau_score,"(716.0, inf]",0.5812148997388845,-0.9042843202391303,37.91283693159144
device_risk_score_mean,"(-inf, 19.5]",0.2664826497540775,-1.087607082611258,20.906701014885307
device_risk_score_mean,"(19.5, 27.0]",1.2120189497246943,-1.087607082611258,95.08805856461493
device_risk_score_mean,"(27.0, 31.0]",-0.08899826419204726,-1.087607082611258,-6.982293601568463
device_risk_score_mean,"(31.0, 35.5]",0.2403373696497552,-1.087607082611258,18.855492222883523
device_risk_score_mean,"(35.5, 39.0]",-0.5218026823971416,-1.087607082611258,-40.937647084002215
device_risk_score_mean,"(39.0, 42.667]",-0.9760939472602691,-1.087607082611258,-76.5787353759883
device_risk_score_mean,"(42.667, 47.0]",0.3168077336415931,-1.087607082611258,24.854918594364744
device_risk_score_mean,"(47.0, 51.5]",1.0562425176290962,-1.087607082611258,82.86673273348201
device_risk_score_mean,"(51.5, 57.5]",0.5768096062709681,-1.087607082611258,45.25317498887683
device_risk_score_mean,"(57.5, inf]",-0.20724246062538565,-1.087607082611258,-16.25905538646717
requested_amount,"(-inf, 1003.0]",1.1180723622228221,-1.0376315926349655,83.68693103225228
requested_amount,"(1003.0, 1415.8]",0.2491286350609258,-1.0376315926349655,18.647103358367296
requested_amount,"(1415.8, 1916.4]",1.1137805101412812,-1.0376315926349655,83.36568891833893
requested_amount,"(1916.4, 2352.6]",0.25349545422726627,-1.0376315926349655,18.973956705924618
requested_amount,"(2352.6, 2815.0]",1.1137805101412812,-1.0376315926349655,83.36568891833893
